id,name,popularity,artist_id,artist_name,artist_popularity,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,duration_ms
5Uj0VnayJKOuP9GmmDPNOx,Untz Untz,60,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,0,1,3,0.00596,0.678,0.967,0.73,0.0694,-5.296,0.089,0.31,138.019,198584
3LK452TFyApuFN9jjg3THO,When I Grow Up (feat. Wiz Khalifa),59,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,1,0,4,0.0268,0.642,0.655,0.0,0.112,-5.222,0.0489,0.156,80.997,195507
3MMKwhb20Rs3AnXIlz3fan,Ride It - Dimitri Vegas & Like Mike vs Quintino Remix,55,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,7,0,4,0.000615,0.614,0.965,0.194,0.0954,-5.967,0.0616,0.133,128.036,176250
00JoqMc5KZFLpdrtymo6f0,The Chase,59,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,5,0,4,0.00106,0.564,0.897,0.674,0.0967,-5.794,0.0814,0.226,139.999,194571
0rS5GffjthPE8zm0wWvrCN,Arcade Mammoth,55,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,3,0,4,0.00714,0.552,0.968,0.853,0.356,-4.173,0.0813,0.133,127.964,255938
3Id3L39kmlEZCgSrfOtKwQ,Selfish - M-22 Remix,56,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,7,0,4,0.031,0.744,0.96,0.347,0.332,-5.661,0.085,0.662,124.023,190260
7wxeGWvf8HNuUeK4k06mOr,Opa,55,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,6,0,4,0.00988,0.455,0.953,0.329,0.247,-3.784,0.0895,0.243,127.284,206250
58FbltxPQWgokYBPsXz6Qs,Higher Place - Radio Edit,55,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,7,1,4,0.246,0.718,0.612,4.33e-05,0.151,-6.252,0.0711,0.561,124.952,174010
3DByxA4MRvkBR8DPEFnrgr,Kalinka - Dimitri Vegas & Like Mike Edit,58,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,1,0,4,0.0065,0.514,0.936,0.0297,0.0728,-3.517,0.23,0.201,127.914,160669
29GJzOuxFqzlyvf6NxoZGH,Carnival - Dimitri Vegas & Like Mike Edit,58,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,8,1,4,0.0015,0.388,0.724,0.287,0.085,-6.599,0.0766,0.128,131.758,178615
2tHA0EXUTUty3ooeiR6kft,Madness (feat. Lil Jon) - Radio Edit,44,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,8,0,4,0.108,0.694,0.969,0.181,0.189,-4.661,0.0609,0.317,130.02,240944
6OMMl7cXqW4lWf0uYeBOf8,Madness (feat. Lil Jon),38,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,8,0,4,0.205,0.638,0.994,0.235,0.131,-2.888,0.0699,0.211,130.018,389538
2l87JUbDWdnVGQAdAuHLip,All Aboard - Dimitri Vegas & Like Mike Edit,47,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,6,0,4,0.00142,0.647,0.946,0.247,0.313,-4.753,0.104,0.316,130.078,213245
2wwN7CGIhd6a0E5QxE1MvZ,Melody - Radio Mix,51,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,3,0,4,0.0375,0.461,0.975,0.562,0.366,-3.245,0.174,0.0784,129.978,223385
6iLbgkOew6ZJ6BBSXtUYEJ,Narcotic - Dimitri Vegas & Like Mike vs Ummet Ozcan Remix,63,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,5,0,4,0.0163,0.586,0.867,0.496,0.0751,-5.233,0.0577,0.284,127.913,203827
0Gc1AVYqYOR522Nvz68dsT,The Hum,46,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,11,0,4,0.211,0.729,0.947,0.822,0.367,-3.103,0.0458,0.209,130.005,211000
0h1yorZXMX1sRRLfq0aOAK,The Hum,33,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,11,0,4,0.211,0.729,0.947,0.822,0.367,-3.103,0.0458,0.209,130.005,211000
1jISfCuI2LkLqRpxW0grFC,Clap Your Hands,41,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,1,1,4,0.0421,0.651,0.957,0.00159,0.0745,-2.515,0.225,0.0596,130.167,176728
1a4k2osHzhVwhvgINJERyN,He's a Pirate - Hans Zimmer vs Dimitri Vegas & Like Mike / Bonus Track,52,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,2,0,3,0.00116,0.631,0.918,0.387,0.101,-4.92,0.0374,0.338,112.489,210973
0q4kvHCOj8PitJGuUMu20p,Higher Place - Radio Edit,43,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,7,1,4,0.242,0.713,0.622,3.92e-05,0.151,-6.251,0.0762,0.536,124.94,174010
3F7LKUuasfyLrNCS1thKq0,Turn Up,52,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,1,0,4,0.00694,0.616,0.949,0.00997,0.368,-3.986,0.0546,0.101,130.017,253385
0JWeXAsgB7Bz9I87hmGpB9,Hey Baby (feat. Debs's Daughter),39,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,6,0,4,0.0154,0.658,0.88,0.0,0.235,-4.582,0.0845,0.831,90.018,190813
7k8Rj61mspwBrNEo6HEX05,Best Friend's Ass - Dimitri Vegas & Like Mike Remix,42,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,7,1,4,0.104,0.777,0.958,2.23e-06,0.364,-2.612,0.167,0.831,127.939,172192
4xdNmYWQFo0ISB7jbTZzMh,The Anthem (Der Alte),52,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,5,0,3,0.0291,0.616,0.834,0.0323,0.103,-4.637,0.0702,0.145,139.89,154714
6zCpe9A3pFqrazleVtMyIp,The Hum - Original Mix,42,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,9,1,4,0.0196,0.665,0.958,0.85,0.286,-3.954,0.0423,0.0446,129.997,356075
6ToupFpZbiTiRGEF2vVuzU,Arcade - Radio Edit,46,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,3,0,4,0.00923,0.565,0.957,0.69,0.293,-4.167,0.0723,0.175,127.953,225000
4V8MnCD8T2Iyk5uGAFEgNF,Mortal Kombat Anthem - Club Mix,47,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,7,1,4,0.00829,0.663,0.923,0.91,0.32,-3.195,0.0613,0.394,129.964,211154
25BLqfJUuFnzm4jShSHX3U,Garden of Madness 2020 Megamix,53,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,5,0,4,0.00522,0.439,0.877,0.0701,0.29,-3.992,0.11,0.175,136.724,695000
0Qv5qTV99tE5tRo5Kqde4D,Ready For Action,52,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,10,0,4,0.00403,0.639,0.973,0.00336,0.336,-4.644,0.107,0.168,130.046,224769
1hZ7LSB05aNMX2Nw73DFiR,Best Friend's Ass,48,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,6,0,4,0.0306,0.968,0.677,0.0,0.0852,-6.344,0.207,0.767,124.975,171740
3LewMbGqmR4IYtifSNxbGz,Something Just Like This - Dimitri Vegas & Like Mike Remix,45,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,11,0,1,0.142,0.455,0.786,0.000606,0.336,-5.544,0.0669,0.449,108.753,230573
55LqAafhLoNmahQ9fkIOHY,Stampede - Original Mix,26,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,4,0,4,0.00134,0.653,0.523,0.901,0.0614,-3.907,0.0521,0.145,128.011,257053
0H8GRYpMkJQeoNddt6j4Kx,Mortal Kombat Anthem - Club Mix,48,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,7,1,4,0.00829,0.663,0.923,0.91,0.32,-3.195,0.0613,0.394,129.964,211154
5Qw6359qWB9JdwIXYS0lxj,Project T - Martin Garrix Remix,46,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,9,0,4,0.00358,0.561,0.725,0.857,0.0872,-7.212,0.042,0.117,127.993,312197
0kdVIAjTAkAFo7dYdciDU1,Crowd Control - Radio Edit,52,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,11,0,4,0.0594,0.345,0.955,0.642,0.132,-2.257,0.088,0.115,139.927,159429
2OSsMwCiZPC44tJ4OPVSZF,All I Need (with Gucci Mane),48,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,11,0,4,0.101,0.492,0.801,0.0,0.0798,-4.204,0.0567,0.329,150.036,185265
735f5J0cA4VqAyxmsARit0,Bounce (feat. Snoop Dogg),48,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,1,1,4,0.0202,0.596,0.944,0.011,0.186,-4.813,0.123,0.416,150.073,157615
3bgk2drUml3QCeRxhAuvFR,Madness (feat. Lil Jon) - Oh Snap!! Remix,19,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,1,1,4,0.0491,0.789,0.872,0.239,0.0855,-8.472,0.267,0.37,145.045,256000
2FQgmygHetc4SPApVDmj3G,"Here We Go (Hey Boy, Hey Girl)",49,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,8,1,4,0.00141,0.583,0.979,0.902,0.06,-3.83,0.0398,0.267,126.028,158095
3yPciJSUc2eiGvwMYFP4Nh,Boing,45,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,2,0,4,0.000122,0.551,0.973,0.605,0.0567,-4.267,0.0546,0.0801,128.036,142500
6vSDjiTPramX72oNM1yOxC,Garden of Madness,44,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,5,0,4,0.102,0.726,0.939,0.0103,0.586,-3.45,0.0553,0.138,127.934,218630
0AQlQOvoFhRJLPC1KwbKB7,Find Tomorrow (Ocarina) (feat. Wolfpack & Katy B) - Radio Edit,49,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,0,0,4,0.055,0.665,0.853,0.00169,0.277,-4.851,0.0331,0.384,129.946,188467
4Ll8gvS3vrODykwNguDehq,F*CK - Dimitri Vegas & Like Mike Edit,34,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,9,0,4,0.00132,0.646,0.859,0.127,0.176,-2.893,0.166,0.272,128.042,277515
7cVaJvsIIcgzSdH204p2CX,The House Of House,53,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,3,0,4,0.144,0.565,0.892,0.801,0.0385,-5.221,0.0672,0.0764,139.957,267040
124zAWG7dEMRdA6v6SD0SG,Everybody Clap,42,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,0,1,4,0.00473,0.716,0.971,0.721,0.255,-5.309,0.0705,0.141,127.99,152813
2Dcqj5wDeumFvAFJbvCbhF,Tales Of Tomorrow,45,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,7,0,4,0.0281,0.507,0.894,0.0,0.0897,-4.743,0.0901,0.181,128.114,190166
7bX9Z6HPHO96BL5vNK9k3Y,Mammoth - Radio Edit,23,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,11,0,4,0.00208,0.57,0.871,0.106,0.398,-5.938,0.472,0.475,128.038,160258
1xniUfCvv0CGGHgbZD5C0q,Stay A While - Radio Edit,42,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,0,1,4,0.0375,0.55,0.652,0.0,0.11,-7.418,0.0499,0.16,119.918,232000
6oU6OTnU945Dz59dCa45Gq,"Slow Down (feat. Boef, Ronnie Flex, Ali B & I am Aisha)",47,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,1,1,4,0.0814,0.84,0.73,4.45e-06,0.106,-4.181,0.0598,0.654,105.016,201714
06lUC60bYItTvFWGuEKyvt,Patser Bounce,48,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,9,1,3,0.00224,0.295,0.969,0.773,0.104,-5.525,0.0729,0.22,137.746,152421
48uISLe5IvCarYNo1joYos,Turn It Up (feat. Wolfpack),46,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,8,1,4,0.00298,0.452,0.936,0.134,0.372,-3.075,0.107,0.307,128.161,283707
0mUcyLU6W89zfEMsVu4Fy9,Girlz Wanna Have Fun - Dimitri Vegas & Like Mike Remix,43,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,3,0,4,0.00142,0.751,0.805,0.27,0.226,-2.873,0.0608,0.28,127.961,240762
1vnJSFjkU4AvvKt0a08xCF,Untz Untz - Coone Remix,48,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,1,1,4,0.0087,0.439,0.975,0.362,0.0468,-4.688,0.207,0.0925,150.1,190071
1ahuShy8UD37C21q2meohL,Selfish - Tomorrowland 2013 Aftermovie Remix,39,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,9,1,4,0.266,0.581,0.961,0.709,0.156,-5.431,0.0632,0.111,126.195,224368
1mQ34waLiTMqIA1FJwKL8m,Watch Out For This (Bumaye) - Dimitri Vegas & Like Mike Tomorrowland Remix,32,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,1,1,4,0.00292,0.833,0.791,0.0294,0.098,-3.497,0.119,0.505,127.999,301231
1pAvAiQK7naCXyhkcRQAZl,Complicated (feat. Kiiara) - R3hab Remix,44,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,0,0,4,0.0511,0.405,0.665,0.0,0.213,-6.287,0.166,0.593,179.853,148333
5Bwjnjkjq2dexAiYVkhkBy,Ocarina - Bassjackers Remix,44,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,7,0,4,0.0047,0.688,0.851,0.738,0.0976,-4.549,0.0847,0.0895,128.016,186562
0GnSNtOfVCCQ5Wx9rzlWYV,Ocarina (The TomorrowWorld Anthem) (feat. Wolfpack) - Instrumental Mix,46,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,0,0,4,0.0043,0.58,0.963,0.522,0.0552,-5.954,0.0649,0.128,129.971,295027
2NGrJMR4899NH82qjZiNcS,What Is Love 2016 - Dimitri Vegas & Like Mike Remix,15,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,1,0,4,0.112,0.643,0.907,0.00458,0.121,-3.345,0.0448,0.239,128.058,208500
19ndEKiHmRoCOd0J660fvB,Project T,39,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,9,0,4,0.00104,0.614,0.926,0.864,0.2,-5.677,0.037,0.135,124.997,302634
6lMNMaq2OaE7UIQiBevauB,Everybody Clap,44,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,0,1,4,0.0048,0.716,0.971,0.675,0.277,-4.963,0.0685,0.125,128.011,148125
3YZV7YJCK5xqdb6qWZDai6,Madness (feat. Lil Jon) - Yves V Remix,16,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,4,1,4,0.00221,0.676,0.948,0.226,0.0985,-4.712,0.102,0.152,127.965,372634
1P0RMKG0HVFdFrLQ75O9Fj,Nova - Original Mix,41,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,2,1,4,0.00084,0.784,0.988,0.847,0.347,-5.379,0.0816,0.715,127.977,252657
79HdRg2Lq06P19LqWUAXAU,You're Next,41,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,6,0,4,0.00659,0.585,0.919,0.685,0.12,-4.736,0.0906,0.773,160.043,169500
4SByVmVbEHbQDbuNTyJygK,Wakanda - WARRIORS Remix,42,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,1,1,4,0.000391,0.532,0.876,0.0231,0.216,-5.765,0.0679,0.0683,137.067,227737
4pGqgBoijsxPIziGoz4AON,Best Friend's Ass - Dimitri Vegas & Ariel Vromen Radio Remix,33,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,7,1,4,0.0141,0.7,0.983,0.000408,0.427,-3.977,0.0566,0.766,124.978,194521
3XqcH72SduQhCP7nWkPHhG,Higher Place - Afrojack Remix,28,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,0,1,4,0.319,0.567,0.598,0.00114,0.0888,-9.925,0.0503,0.601,127.988,195586
3agCFxMhyXupdQOtu8Yb4N,Selfish - Syn Cole Remix,38,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,7,0,4,0.0776,0.759,0.836,8.29e-06,0.0682,-3.084,0.0432,0.648,119.957,180000
6wwMooleU5O4bEKkA150CE,More - Blasterjaxx Remix,43,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,7,1,4,0.000586,0.683,0.69,0.831,0.395,-4.303,0.0712,0.379,128.002,371260
52XF8QKWtFZ4e8ujIpPVQd,The Jungle,38,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,9,1,4,0.0834,0.588,0.837,0.000115,0.171,-6.04,0.563,0.131,155.098,144016
2xQjBJqtiEgFPvTYzFgDdn,Louder - Extended Mix,38,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,8,1,4,0.000176,0.624,0.994,0.266,0.0847,-2.833,0.176,0.156,128.001,244233
0S8uArWbw8Nwc9s2z19T4P,HIGHER GROUND,48,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,3,0,4,0.00389,0.511,0.941,0.0,0.337,-2.823,0.18,0.397,128.004,303733
7djXZOHffvHLtyRJShN4bc,Meet Her At Tomorrow (feat. Dimitri Vegas & Like Mike),31,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,2,0,4,0.0255,0.674,0.768,1.28e-06,0.368,-2.695,0.0649,0.183,128.073,241841
4xNLoysynrmkTXdXrPygrr,When I Grow Up (feat. Wiz Khalifa) - DVLM X Brennan Heart VIP MIX,46,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,1,0,4,0.0385,0.401,0.922,0.0,0.064,-2.873,0.107,0.233,75.637,253187
6Rpz0SNYdbGpBQ6ZUEB3AD,Don't You Want Me 2015 - Dimitri Vegas & Like Mike Remix,36,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,2,1,4,0.00218,0.603,0.916,0.927,0.117,-5.109,0.0716,0.0751,128.139,226203
667A1K1y6GQYfMHrcnexPD,Boing,41,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,2,0,4,0.000122,0.551,0.973,0.605,0.0567,-4.267,0.0546,0.0801,128.036,142500
3jIVSR6BXJWOGyYRVeYnMu,Hey Baby (feat. Deb's Daughter),28,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,6,0,4,0.0171,0.708,0.908,0.0,0.0814,-3.579,0.184,0.85,90.026,201000
3jxUjqNBZm2kqOIv3RaAmO,Waves (Tomorrowland 2014 Anthem) - Radio Edit,27,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,4,0,4,0.00827,0.516,0.932,0.734,0.208,-4.454,0.216,0.197,127.947,206250
2pWMpb8iHfGKsw9BmeUBOK,Feedback,41,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,0,1,4,0.000253,0.545,0.912,0.961,0.308,-4.211,0.0829,0.383,127.972,230625
6gv0haZkJPwGEnoUegBnXC,Momentum - Michael Calfan Remix,34,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,9,1,4,0.0033,0.703,0.83,0.909,0.213,-3.839,0.0425,0.0588,128.022,360000
7098TdxGBINzBu9ygyAieB,The Jungle,42,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,9,1,4,0.0834,0.588,0.837,0.000115,0.171,-6.04,0.563,0.131,155.098,144016
1KYWuQBH5wapHECHEaQRhp,Tomorrow (Give It To The Night/The Tomorrowland Anthem) - Vocal Club Mix,37,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,2,0,4,0.00322,0.837,0.602,0.0409,0.0747,-4.721,0.0863,0.0389,126.993,307973
662vtOAyenh4uGaEP8buDu,Complicated (feat. Kiiara) - Diego Miranda & Wolfpack Remix,36,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,8,1,4,0.00103,0.524,0.827,0.0267,0.0412,-5.17,0.059,0.236,128.011,250979
65p5bzJ7bkxwOhYWkKvFwd,Mortal Kombat Anthem - Dimitri Vegas vs. 2WEI Mortal Kombat 11 Trailer Mix,31,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,2,1,4,0.0204,0.577,0.802,0.507,0.11,-10.016,0.061,0.11,133.887,109704
2Mrhe6cvtvgod4LgzCkLUZ,Waves (Tomorrowland 2014 Anthem),40,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,4,0,4,0.00827,0.516,0.932,0.734,0.208,-4.454,0.216,0.197,127.947,206250
2iYe2uVT6c9twptoxhUCin,Café Del Mar 2016 - Dimitri Vegas & Like Mike vs Klaas Instrumental Mix,31,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,5,0,4,0.0077,0.594,0.894,0.945,0.0271,-4.39,0.0427,0.38,128.032,259219
0k1q9ItmLjwGsWeYezAqL7,Phat Brahms - Radio Edit,42,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,4,0,4,0.00189,0.582,0.946,0.241,0.248,-3.384,0.215,0.43,128.073,186359
1soXCBABp2do5cl3awvPiI,Generation X,38,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,79,9,0,4,0.00165,0.767,0.8,0.316,0.172,-5.053,0.0846,0.696,128.0,318744
